Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
97.2375;0.225;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.35;0.0;7.85;440.0;51.9;0.472;11.5;1.74e-05;13.0;160.0;200.0;80.0;0.29;1041.0;1451.0
97.195;0.42000000000000004;0.04;0.22499999999999998;0.035;0.85;0.475;0.55;0.25;0.0;7.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.4625;0.2;0.04;0.22499999999999998;0.035;0.55;0.5;1.775;0.25;0.0;7.85;211.0;44.5;0.475;11.3;2.45e-05;22.3;160.0;205.0;80.0;0.29;395.0;703.0
97.3825;0.30500000000000005;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;217.0;46.6;0.475;11.2;2.34e-05;16.0;160.0;187.0;72.0;0.3;550.0;620.0
96.4175;0.195;0.04;0.22499999999999998;0.035;0.55;0.5;1.825;0.25;0.0;7.85;319.0;44.5;0.475;11.3;2.45e-05;15.5;160.0;205.0;80.0;0.29;848.0;1025.0
0.0;0.03;0.025;0.5;0.03;0.7;25.0;9.5;4.0;0.0;NA;NA;NA;NA;NA;NA;25.0;NA;NA;NA;NA;640.0;840.0
95.43;0.3;0.0;0.3;0.0;0.85;0.85;1.8;0.4;0.0;7.83;NA;NA;0.669;NA;NA;11.0;NA;NA;NA;NA;1331.0;1550.0
97.20750000000001;0.405;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;459.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
97.41;0.275;0.045;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;211.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
95.76249999999999;0.4;0.04;0.22499999999999998;0.035;0.7;0.8;1.825;0.25;0.0;7.85;358.0;44.5;0.475;12.3;2.48e-05;NA;159.0;200.0;78.0;0.29;NA;NA
0.0;0.02;0.015;0.4;0.015;2.0;23.5;29.0;5.4;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97.07825;0.505;0.045;0.25;0.035;0.875;0.5;0.55;0.2;0.0;7.85;223.0;46.6;0.475;NA;2.34e-05;22.5;160.0;205.0;80.0;0.29;1076.0;1255.0
97.09;0.2;0.04;0.5;0.035;1.3;0.25;0.25;0.08;0.35;7.8;NA;52.0;0.47;12.0;1.7e-05;17.0;160.0;200.0;80.0;0.29;515.0;725.0
97.4825;0.20500000000000002;0.04;0.25;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;350.0;46.6;0.475;NA;2.34e-05;16.5;160.0;205.0;80.0;0.29;910.0;1095.0
97.4575;0.20500000000000002;0.04;0.25;0.035;0.8;0.5;0.55;0.2;0.0;7.85;339.0;46.6;0.475;NA;2.34e-05;14.0;160.0;205.0;80.0;0.29;876.0;1075.0
97.3825;0.30500000000000005;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;235.0;46.6;0.475;11.2;2.34e-05;22.5;160.0;205.0;80.0;0.29;615.0;765.0
95.7475;0.405;0.02;0.22499999999999998;0.025;0.7749999999999999;0.8;1.775;0.25;0.0;7.85;301.0;44.5;0.475;11.3;2.48e-05;20.0;159.0;200.0;78.0;0.29;938.0;1000.0
0.0;0.02;0.015;0.3;0.02;1.0;27.0;6.5;5.0;0.0;NA;300.0;NA;NA;NA;NA;25.0;NA;NA;NA;NA;690.0;890.0
97.1575;0.405;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.25;0.0;7.85;292.0;46.6;0.475;NA;2.34e-05;18.5;160.0;205.0;80.0;0.29;841.0;979.0
97.01249999999999;0.6000000000000001;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;208.0;46.6;0.475;NA;2.34e-05;NA;160.0;205.0;80.0;0.29;NA;NA
10.0;0.05;0.01;1.0;0.015;6.5;16.0;67.0;1.5;0.5;NA;NA;NA;NA;NA;NA;30.0;NA;NA;NA;NA;360.0;620.0
97.0;0.15000000000000002;0.04;0.25;0.035;0.8;0.525;0.85;0.5;0.325;7.8;278.0;NA;NA;NA;NA;18.0;160.0;NA;80.0;NA;690.0;827.5
97.1575;0.405;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.25;0.0;7.85;284.0;46.6;0.475;NA;2.34e-05;16.0;160.0;205.0;80.0;0.29;605.0;931.0
96.17;0.07;0.025;0.4;0.025;0.55;0.75;0.85;0.0;1.15;7.8;NA;52.0;0.47;12.0;1.7e-05;20.0;160.0;200.0;80.0;0.29;415.0;552.5
95.7475;0.405;0.02;0.22499999999999998;0.025;0.7749999999999999;0.8;1.775;0.25;0.0;7.85;284.0;44.5;0.475;11.3;2.48e-05;20.5;159.0;200.0;78.0;0.29;834.0;931.0
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;350.0;46.6;0.475;NA;2.34e-05;17.0;160.0;205.0;80.0;0.29;1020.0;1140.0
